seed,KNN,Naive_Bayes,Decision_Tree,Random_Forest,SVM
0,98.09996249906249,92.59964624115602,98.90148503712592,98.64922623065576,98.34972874321859
1,98.19872371809296,92.50113627840696,98.94847996199906,98.54897747443685,98.19921623040575
2,97.75021625540637,92.7031413285332,99.0002312557814,98.80122878071951,98.1512187804695
3,98.44923373084328,92.50288757218931,98.94923873096828,98.80099002475062,98.29847246181154
4,97.69996499912497,92.59938748468713,99.04898247456187,98.69923373084328,98.24722618065452
5,98.10097252431311,92.64889497237432,98.65072876821921,98.80098252456312,98.5007312682817
6,97.84970874271858,92.39613615340383,98.7509800245006,98.94973124328106,98.19946748668717
7,98.34922373059325,92.54712867821695,98.79848246206154,98.9004825120628,98.24946998674967
8,98.00221880547014,92.59713367834196,98.8007337683442,98.9504825120628,98.24872371809296
9,97.9009775244381,92.70115627890698,98.79873121828045,98.70148253706341,98.44923123078077
10,98.19921873046826,92.49738993474838,98.89897747443686,98.49997249931248,98.14896747418683
11,98.10046501162529,92.65163629090728,98.6514825370634,98.7504800120003,98.40022125553138
12,98.09922123053076,92.70663141578538,98.69947748693718,98.84973124328107,98.34946998674965
13,97.94972124303108,92.50163379084476,98.84847996199906,98.79797744943623,98.29872371809296
14,98.24772369309234,92.64989749743744,98.59797744943624,98.74872871821796,98.19896997424935
15,97.79871121778044,92.59963624090604,98.5514725368134,98.7504825120628,98.30022875571889
16,98.04747243681092,92.49914872871821,98.64797994949872,98.89773119327982,98.29922873071826
17,98.19872371809295,92.59738743468586,98.69923373084328,98.69823370584264,98.09972374309356
18,98.1504725118128,92.5488949723743,98.85023875596889,98.69947748693718,98.44947748693718
19,98.1007212680317,92.75087752193805,98.69947748693717,98.55048001200029,98.2507212680317
20,98.34872121803043,92.60139753493837,98.64972624315608,98.94823120578015,98.19871871796795
21,98.29997499937498,92.55037750943775,98.6507312682817,98.6002262556564,98.2509750243756
22,97.9507162679067,92.44963874096854,98.84922873071825,98.7002287557189,98.35147753693842
23,98.14972124303107,92.6026363159079,98.94923123078078,98.85123128078202,98.3509700242506
24,98.05072376809422,92.6028925723143,98.9502337558439,98.95073126828171,98.05146753668842
25,98.09947748693718,92.55014875371884,98.8509850246256,98.90073626840669,98.39997749943748
26,98.39997499937496,92.50338508462713,98.80098252456311,99.0002337558439,98.4502287557189
27,98.0502212555314,92.6486387159679,98.74898497462436,98.9502337558439,98.34797744943624
28,97.84996999924998,92.45063126578164,99.0507362684067,98.8504825120628,98.39872871821795
29,97.90122628065701,92.4518800470012,98.84948498712468,98.79973624340607,98.15022625565638
